中	a
粲	ahxm
餐	ahxo
攴	ahy
上诉	ahyj
上课	ahyr
上谕	ahyr
卓越	ahzh
点子	ahzw
桌子	ahzw
笋	ai
箫	aiab
笋	aidp
簋	aigm
船	aj
船舶	ajab
船舷	ajae
船舱	ajar
艘	ajay
船头	ajdd
船队	ajer
船夫	ajer
船工	ajgh
船员	ajkb
船只	ajkb
船	ajkd
舀	ajph
船体	ajrm
船长	ajvp
般	ajyd
磐	ajyo
筒	ak
篑	akab
舯	akad
舰艇	akap
笄	akda
爱国主义	aked
舰队	aker
售	akhh
筒	akhk
坚固耐用	akhu
洄	akkh
笛	akoh
舳	akoh
舰	akpg
觅	akpg
笕	akpg
售货	akrq
售价	akrr
洄游	aksf
非同小可	akxh
笛子	akzw
筒子	akzw
笠	aldh
笳	alkd
艟	alrt
北冰洋	alsy
笾	alzd
算	am
采集	amam
盘算	amam
算盘	amam
采购	ambd
简单	ambr
彩带	amca
算	amcd
彩色	amdb
篡夺	amdc
笔	amdg
盘	amdh
笃	amdh
纂	amdj
篡	amds
简陋	ameh
集市	amej
笔迹	amep
彩云	ames
采取	amey
简短	amfd
彩旗	amff
盘旋	amff
笔下	amha
笨	amhd
归根到底	amhg
彩灯	amhh
集	amhn
集约	amjd
采纳	amjk
集结	amjo
集镇	amjo
彩绘	amjr
算帐	amjv
篡改	amjw
集中	amka
笔墨	amkb
集团	amkh
简朴	amma
箱	ammd
算术	ammd
盘问	ammk
采样	ammy
集权	ammy
彩排	amoa
采摘	amoe
简报	amoe
采矿	amog
简捷	amoh
笔直	amok
简直	amok
采掘	amoo
笨拙	amow
彩印	ampg
笨重	amph
采种	ampm
简称	ampm
采	ampn
彩	ampp
算得	ampr
采暖	amra
简	amrd
简易	amrd
集会	amre
采伐	amrg
彩电	amrg
集合	amrh
简便	amrh
算是	amrh
集体	amrm
简介	amrp
简化	amrq
简明	amru
简洁	amso
算法	amst
简写	amth
简略	amtw
采用	amua
彩霞	amuw
彩虹	amvg
集成	amvg
笔录	amwe
算了	amwg
笔尖	amxd
简要	amxn
简谱	amyb
采访	amyf
简讯	amyg
笔试	amyh
笔记	amyj
算计	amyo
笔调	amyp
盘子	amzw
箱子	amzw
妥	an
妥协	anol
妥	anph
妥当	anxi
妥善	anyb
歧	ao
筢	aobd
箝	aoce
舢	aoda
笼	aogd
隼	aoha
箍	aohw
坚持不懈	aohx
上层建筑	aoia
笼统	aoje
筘	aokd
艉	aomd
歧视	aook
籀	aopt
笼罩	aosa
箨	aoyo
歧	aoyt
笼子	aozw
笑	ap
隹	apad
竹竿	apae
筵	apaz
师范	apcs
笑	apdd
归于	apeg
师生	apft
归功	apgl
笫	apgp
竹	apha
师	aphj
归还	aphr
爪牙	aphw
归	api
归纳	apjk
归结	apjo
篦	apkb
归国	apkw
师资	aplq
竹林	apmm
师母	apmw
师雄	apos
艇	apoz
爪	appa
舟	appg
篪	appj
舨	appy
师傅	aprh
笑脸	apur
师长	apvp
笈	apwn
归宿	apxr
笑容	apxr
笑话	apyp
竹子	apzw
爪子	apzw
旧	ar
筱	araw
答卷	arbe
符	arcd
渴	ardw
背信弃义	ared
集体主义	ared
渴望	areg
旧制	arfh
答复	arfr
筏	argd
答应	argd
舱	argg
旧	arh
笪	arhd
签	arhh
答	arhk
旧事	arhk
售货员	arkb
符号	arkh
答辩	arlo
答问	armk
集体所有制	arpf
答题	arrh
符合	arrh
舱位	arrl
签署	arst
涅	artt
旧历	arvl
齿轮	arvr
齿	arwa
龀	arwb
龇	arwb
龄	arwd
龋	arwd
筌	arwd
篌	arwd
齿条	arwh
龆	arwk
龉	arwk
龈	arwn
签发	arwp
龊	arwr
答理	arwr
龃	arws
龅	arws
龌	arwt
签定	arxh
签名	arxk
答案	arxn
签字	arxz
答对	aryc
答词	aryg
签订	aryh
签证	aryh
答谢	aryo
答话	aryp
非	as
酆	asae
韭	asah
箩筐	asah
裴	asai
翡	asal
筹集	asam
籍	asar
非	asas
辈	asav
蜚	asav
斐	asaw
悲	asax
箔	asbd
辈分	asbd
上海市	asej
悲哀	asek
筹划	asgd
悲痛	asgl
簿	ashc
爵	asic
筹建	asie
笞	askd
悲壮	asla
第三产业	asla
筹办	aslb
筹措	asoc
悲剧	asoo
筹	aspc
悲伤	asrf
非人	asrp
非但	asrr
非洲	assd
非法	asst
篾	asvd
翡翠	aswl
筹备	aswt
籍贯	asww
箩	asxd
悲愤	asxo
悲惨	asxs
非常	asxt
悲观	asyk
等	at
等分	atbd
受益	atbh
受精	atbm
等	atcd
受苦	atco
爱慕	atcr
筠	atdl
等角	atdu
等效	ateb
等于	ateg
集思广益	atgb
箅	atha
等式	athg
等到	aths
受到	aths
等级	atjp
等号	atkh
等同	atkh
爱国	atkw
等次	atlq
爱好	atnz
爱护	atod
爱抚	atoe
受热	atop
爱	atoy
箸	atpr
等待	atpr
等候	atra
受伤	atrf
受命	atrh
爱人	atrp
等价	atrr
受罪	atsa
受潮	atso
等温	atsr
受累	attj
爱戴	attt
等腰	atux
爱民	atwh
受理	atwr
舜	atxa
爱憎	atxb
爱惜	atxc
受惊	atxe
爱情	atxh
受害	atxs
受	atyp
肯	au
肯	auhh
筋	auld
肯定	auxh
箴	avhd
集成电路	avrk
凹	aw
兕	awae
凹	awah
凹凸	awah
奚落	awcs
簦	awdd
凹陷	awed
业务联系	awep
幽静	awht
幽灵	awih
幽默	awkb
幽闲	awmm
幽	awsa
奚	awsd
篷	awsz
篆	awwn
管	ax
舵	axbd
管道	axbh
管带	axca
舾	axdh
管制	axfh
箜	axgd
管事	axhk
坚定不移	axhp
管路	axka
篥	axmd
鉴定会	axre
簟	axro
管教	axtp
管用	axua
筲	axud
艄	axud
管辖	axvx
筷	axwd
管	axwh
管理	axwr
箢	axxg
管家	axxh
管子	axzw
筷子	axzw
雠	ayah
妥善处理	ayww
郛	azep
乳	azgp
艋	azmd
孚	azph
乳剂	azwp
乳酸	azys
不	b
贴	ba
贝类	babm
丫头	badd
精简整编	bahj
贴	bahk
丫	bap
贝	bawp
贴心	baxd
比	bb
毕业	bbaa
赠送	bbbe
皆	bbbg
庇	bbbp
毖	bbdd
养精畜锐	bbej
婴儿	bbep
比率	bbew
罂	bbfd
比方	bbfd
毕生	bbft
比	bbgg
毙	bbhb
赚	bbhb
精益求精	bbhb
赠	bbkr
比喻	bbkr
毕竟	bblr
婴	bbnd
比如	bbnk
鹦	bbnn
庇护	bbod
毕	bbog
比拟	bbog
分道扬镳	bboj
比热	bbop
比重	bbph
魄	bbps
比例	bbrh
比值	bbro
比价	bbrr
比较	bbve
普普通通	bbww
比赛	bbxh
总的说来	bbyh
公共汽车	bcsv
分	bd
分歧	bdao
分类	bdbm
分米	bdbm
分数	bdbm
贫	bdbn
赡养	bdbs
分寸	bdch
分散	bdch
贫苦	bdco
分期	bdcs
分头	bddd
则	bddg
的	bddh
分解	bddu
分离	bdei
兰州市	bdej
郑州市	bdej
分享	bdek
分院	bdex
购买	bdgd
分工	bdgh
颁	bdhb
分区	bdhi
分裂	bdhx
分红	bdjg
分组	bdjk
分级	bdjp
购销	bdjx
岔路	bdka
分路	bdka
分号	bdkh
分开	bdkh
分别	bdkl
贫困	bdkm
分立	bdld
分辨	bdlo
分辩	bdlo
分析	bdmj
盆	bdmn
分母	bdmw
分档	bdmx
分	bdnp
分批	bdob
的确	bdod
分局	bdog
皋	bdoh
颁布	bdoj
分布	bdoj
翱	bdol
岔	bdon
分居	bdoo
分手	bdop
分担	bdor
分支	bdoy
贫乏	bdpd
分得	bdpr
分行	bdpr
分会	bdre
分量	bdrh
分化	bdrq
分明	bdru
购	bdsd
分泌	bdsd
分清	bdsh
购置	bdso
分地	bdtg
盆地	bdtg
贫农	bdti
坌	bdtn
分界	bdtr
分成	bdvg
赡	bdvy
贫民	bdwh
颁发	bdwp
分发	bdwp
分外	bdxa
贫穷	bdxl
忿	bdxn
分割	bdxs
翱翔	bdyg
分配	bdyj
分子	bdzw
关	be
赋	bead
卷筒	beak
半	beap
皎	bebi
半数	bebm
判断	bebm
关节	becg
关头	bedd
拳头	bedd
郑州	bedp
送达	bedz
叛变	beea
关联	beeb
送交	beeb
关于	beeg
拳击	beeo
半天	beer
半夜	beer
半年	befh
八进制	befh
贱	begd
半百	behb
卷烟	behk
卷绕	bejh
关键	beji
半路	beka
关中	beka
卷曲	bekc
半圆	bekk
判别	bekl
送别	bekl
半音	belr
判决	belw
关门	bemd
关闭	bemh
送礼	beog
眷属	beop
判	bepd
半岛	bepg
誊印	bepg
郑重	beph
关系	bepj
赋税	bepm
关税	bepm
卷入	bepn
送入	bepn
叛乱	bepo
半径	bepr
叛徒	bepr
送行	bepr
叛	bepy
关切	beqd
半个	bera
豢	berd
券	berd
关照	berd
郑	bere
卷	berg
判例	berh
眷	berm
桊	berm
拳	bero
关	berp
半晌	berp
鲞	beru
誊	bery
送	berz
关注	bese
半夜三更	besh
半截	beta
判处	bewa
赋予	bewd
半球	bewh
赅	bewr
关心	bexd
关怀	bexh
判定	bexh
疑	bf
疑虑	bfah
皓	bfak
疑义	bfdi
肄	bfdo
疑	bfdr
疑惑	bfhk
疑问	bfmk
敫	bfwh
邀	bfwz
疑心	bfxd
疑难	bfya
邀请	bfyh
弟	bg
剃	bgad
鹈	bgan
弟	bgap
递	bgaz
递送	bgbe
弟弟	bgbg
递交	bgeb
递进	bgep
弟兄	bgke
递减	bglv
赃物	bgnd
递推	bgoa
赃款	bgos
总工会	bgre
递增	bgtb
赃	bgtd
弟子	bgzw
前	bh
道上	bhah
歉虚	bhah
普	bhar
前辈	bhas
慈爱	bhat
兼管	bhax
道歉	bhbh
兼并	bhbk
益	bhbm
塑料	bhbm
蠲	bhbv
前期	bhcs
前头	bhdd
剪刀	bhdg
道义	bhdi
财政危机	bhdm
普遍	bhdo
迫不急待	bhdp
兼职	bhek
前进	bhep
前天	bher
财主	bhet
普选	bhfa
首先	bhfa
塑造	bhfa
前方	bhfd
前年	bhfh
前卫	bhga
赇	bhgd
兮	bhgn
财	bhgp
首府	bhgr
财政	bhha
前来	bhhb
赕	bhhd
前面	bhhp
前列	bhhx
兼	bhib
鹣	bhin
歉	bhiq
前线	bhje
财经	bhjw
前锋	bhjw
道路	bhka
财团	bhkh
前哨	bhkx
财力	bhlg
财政部	bhlk
财产	bhlp
首次	bhlq
前边	bhlz
首相	bhmm
剪毛	bhmp
普查	bhmr
财权	bhmy
财物	bhnd
贼	bhod
首饰	bhof
首届	bhok
首尾	bhom
前身	bhop
前提	bhor
慈祥	bhoy
顷	bhpb
馘	bhpd
财贸	bhpg
首	bhpm
前程	bhpm
前后	bhpp
前所	bhpp
道德	bhpr
前往	bhpr
夔	bhpw
普及	bhpw
道	bhpz
遂	bhpz
剪切	bhqd
首领	bhrd
塑像	bhrd
前景	bhre
前途	bhre
首创	bhrg
首位	bhrl
兼任	bhrp
前人	bhrp
逆流	bhse
前沿	bhsj
总政治部	bhsl
财源	bhsv
前者	bhtp
首都	bhtp
前去	bhts
蜻	bhtu
数不胜数	bhub
赙	bhuc
剪	bhud
前	bhud
首脑	bhue
煎	bhuh
翦	bhul
益虫	bhva
兼顾	bhvg
首长	bhvp
蜻蜓	bhvp
益处	bhwa
普通	bhwd
财务	bhwl
槊	bhwm
鹚	bhwn
道理	bhwr
兹	bhws
塑	bhwt
朔	bhwu
八面玲珑	bhww
慈	bhwx
逆	bhwz
孳	bhwz
塑性	bhxf
财富	bhxh
道家	bhxh
逆光	bhxh
首要	bhxn
前夕	bhxp
兼容	bhxr
前额	bhxw
前言	bhyd
总而言之	bhyd
逆差	bhyg
道谢	bhyo
爸	bi
爸	bibd
爸爸	bibi
爹爹	bibi
爷爷	bibi
斧头	bidd
父	bidn
釜	bieh
爷	biga
斧	bijd
父亲	bilh
父本	bimh
父母	bimw
爹	bixx
父子	bizw
帛	bjha
总结经验	bjjm
总经理	bjwr
总	bk
总督	bkah
总算	bkam
总管	bkax
总数	bkbm
总共	bkch
并举	bkdb
并肩	bkdo
总之	bkdw
并联	bkeb
贶	bked
兑	bkep
并进	bkep
总政	bkha
瓶	bkhd
美中不足	bkhk
并不	bkhr
并列	bkhx
总统	bkje
总纲	bkjk
总结	bkjo
曾经	bkjw
并且	bkks
总办	bklb
总部	bklk
总机	bkmj
并存	bkoa
并排	bkoa
兑换	bkod
总局	bkog
总括	bkop
总支	bkoy
并	bkpa
总兵	bkpa
并重	bkph
总称	bkpm
总和	bkpm
并入	bkpn
总后	bkpp
并行	bkpr
前因后果	bkpr
总会	bkre
总量	bkrh
总是	bkrh
总体	bkrm
总值	bkro
总参	bksd
总能	bksu
总裁	bkti
总成	bkvg
总长	bkvp
兑现	bkwk
总务	bkwl
迸发	bkwp
并发	bkwp
总理	bkwr
甑	bkxd
总	bkxp
曾	bkxr
总额	bkxw
总评	bkyh
总计	bkyo
迸	bkzp
瓶子	bkzw
赔	bl
断章取义	bled
赔	blkd
赔礼	blog
赔款	blos
赔偿	blrx
痹	blta
并驾齐驱	blwm
数	bm
粘	bmak
粉笔	bmam
精彩	bmam
精简	bmam
粘贴	bmba
粉	bmbd
断送	bmbe
糕	bmbh
粗糙	bmbm
迷糊	bmbm
糖类	bmbm
糟糕	bmbm
糟粕	bmbm
粕	bmbp
粑	bmbp
糍	bmbs
精美	bmbw
粪	bmcb
粮草	bmcr
数学	bmdb
断头	bmdd
料斗	bmdd
粗大	bmdh
粮	bmdn
料	bmdo
类	bmdp
粹	bmeo
精选	bmfa
迷失	bmfd
精制	bmfh
糙	bmfz
精度	bmgc
粒度	bmgc
糖	bmgk
糠	bmgn
糈	bmgu
糨	bmgv
精炼	bmhh
粳	bmhi
迷惑	bmhk
粉末	bmhm
断面	bmhp
糟	bmhr
精致	bmhs
料到	bmhs
精	bmhu
断裂	bmhx
数列	bmhx
断绝	bmjd
粉红	bmjg
粗细	bmjt
精细	bmjt
断路	bmka
糟蹋	bmka
类型	bmkd
断开	bmkh
类别	bmkl
粗	bmks
粗壮	bmla
粉状	bmla
粒状	bmla
精力	bmlg
粒	bmlp
数目	bmma
料想	bmmm
娄	bmnp
数	bmnw
类推	bmoa
精确	bmod
断层	bmoe
粉碎	bmoe
粉饰	bmof
精矿	bmog
粉刷	bmoj
数码	bmom
数据	bmoo
籼	bmop
粮食	bmop
精神	bmor
糊	bmou
米	bmpn
糗	bmpq
粗犷	bmqg
粗暴	bmrc
糇	bmrd
断电	bmrg
类似	bmrg
粮仓	bmrg
数量	bmrh
数位	bmrl
糖果	bmrm
数值	bmro
精华	bmrq
粗野	bmrt
迷信	bmry
精液	bmse
糁	bmsp
糊涂	bmsr
迷漫	bmsr
粗沙	bmsx
料酒	bmsy
精盐	bmta
粗略	bmtw
糯	bmua
粗鲁	bmur
迷雾	bmuw
粝	bmvg
数轴	bmvk
精通	bmwd
断	bmwj
糅	bmwm
敉	bmwp
糌	bmwr
料理	bmwr
粗心	bmxd
断然	bmxd
精密	bmxd
精心	bmxd
断定	bmxh
粽	bmxo
粞	bmxp
粗劣	bmxp
粉尘	bmxt
粼	bmxw
数额	bmxw
遴	bmxz
数字	bmxz
断言	bmyd
数论	bmyr
迷	bmzp
籽	bmzp
精子	bmzw
粒子	bmzw
料子	bmzw
赎	bo
贿赂	bobw
公有制	bofh
赎	bogd
数据库	bogv
首屈一指	boho
精神焕发	bohw
精打细算	boja
皑	bojh
赆	bond
鸨	bong
贿	boud
精神文明	bowr
数据处理	boww
八	bp
白点	bpah
兜售	bpak
白	bpaw
白米	bpbm
白糖	bpbm
白白	bpbp
皤	bpbt
白菜	bpca
总后勤部	bpcl
白色	bpdb
贬义	bpdi
贬	bpdn
前所未有	bpeo
白天	bper
八旗	bpff
匕	bpg
魃	bpgd
兜	bpge
魅	bpgm
魁	bpgo
魉	bpgr
鬼	bpgs
魑	bpgs
魈	bpgu
魍	bpgw
白银	bpji
白纸	bpjp
卑鄙	bpko
魁梧	bpma
颖	bpmb
白杨	bpmg
八	bpn
白磷	bpob
郫	bpoe
贩卖	bpog
卑	bpoh
白布	bpoj
鹎	bpon
白昼	bpon
鬼神	bpor
贩	bppy
皈	bppy
贬值	bpro
白人	bprp
贬低	bprp
白酒	bpsy
八月	bpup
鬼脸	bpur
八成	bpvg
白发	bpwp
卑劣	bpxp
八字	bpxz
白话	bpyp
皂	bq
皂	bqhg
雁	brap
单数	brbm
单单	brbr
糊里糊涂	brbs
单薄	brcs
单色	brdb
赐	brdp
单干	brea
单元	bree
欲望	breg
赊	brex
旨	brgh
单项	brgh
半途而废	brhg
单一	brhh
单纯	brjh
赊销	brjx
谷	brkd
鹆	brkn
欲	brkq
单产	brlp
单杠	brmg
谷物	brnd
郸	broe
单打	broh
冁	bron
单	brop
单向	brpk
单独	brqv
单位	brrl
单体	brrm
单价	brrr
谷地	brtg
赐予	brwd
单字	brxz
单词	bryg
单调	bryp
单子	brzw
谷子	brzw
公	bs
公分	bsbd
养分	bsbd
公道	bsbh
公顷	bsbh
公益	bsbh
养料	bsbm
公共	bsch
兰花	bscr
兰州	bsdp
公干	bsea
公元	bsee
养育	bses
公主	bset
公告	bsfa
公司	bsgh
翁	bsgl
养病	bsgl
公费	bsgp
公正	bsha
颂	bshb
颍	bshb
公平	bshb
瓮	bshd
公式	bshg
公事	bshk
泉	bshn
养殖	bshx
公约	bsjd
公斤	bsjp
公路	bska
贻	bskd
公园	bske
公开	bskh
公章	bslr
泉眼	bsmi
公	bsnd
公物	bsnd
公报	bsoe
颂扬	bsog
公布	bsoj
公尺	bson
公款	bsos
公社	bsot
公有	bsou
公馆	bsox
公升	bspc
羌	bspg
兰	bsph
公私	bspm
养	bsra
公仆	bsra
公使	bsrh
公债	bsrh
半导体	bsrm
公众	bsrr
公里	bsrt
公海	bssf
泉水	bssg
养活	bssp
公法	bsst
兰考	bstp
公用	bsua
养成	bsvg
公厘	bsvr
养蜂	bsvw
公文	bswd
公民	bswh
公务	bswl
公理	bswr
公然	bsxd
公家	bsxh
公安	bsxn
公案	bsxn
恙	bsxp
公审	bsxr
公害	bsxs
公证	bsyh
公诉	bsyj
总参谋部	bsyl
公认	bsyr
公子	bszw
兽	bt
兽医	bthf
兽	bthk
赌咒	btkk
赌博	btoh
赌	btpr
赌气	btqp
账	bv
账簿	bvas
账单	bvbr
账	bvdn
账户	bvdo
赈	bven
账号	bvkh
账目	bvma
账本	bvmh
美	bw
巴	bwah
皇上	bwah
败类	bwbm
羡慕	bwcr
美学	bwdb
败	bwdn
美	bwdp
皇帝	bweb
美元	bwee
皇族	bwff
羹	bwhd
皇	bwhh
美丽	bwhk
羔	bwhp
巴结	bwjo
赂	bwkd
美国	bwkw
羡	bwlq
美术	bwmd
盖	bwmp
皇权	bwmy
姜	bwnp
美女	bwnw
美妙	bwnx
美好	bwnz
败局	bwog
皇朝	bwor
羲	bwpd
巴黎	bwpm
皇后	bwpp
美德	bwpr
败仗	bwro
美人	bwrp
美化	bwrq
数理化	bwrq
美满	bwsc
美洲	bwsd
败坏	bwth
美感	bwvh
巴西	bwxh
皇家	bwxh
皇室	bwxh
美容	bwxr
巴掌	bwxt
羔羊	bwyd
总书记	bwyj
美观	bwyk
普通话	bwyp
遑	bwzh
盖子	bwzw
贮	bx
贮藏	bxcv
皖	bxee
贮	bxhd
公安部	bxlk
贮存	bxoa
公安局	bxog
贮备	bxwt
尊	by
尊敬	bycd
尊	bycp
奠基	bycs
遵	bycz
奠	bydp
尊严	byha
酋	byph
尊重	byph
遵循	bypr
猷	byqp
遵照	byrd
遵守	byxc
奠定	byxh
遒	byzp
迫	bz
迫	bzhn
迫切	bzqd
迫使	bzrh
迫害	bzxs
从	c
卅	caa
芷	caah
萑	caah
蓝	caam
茈	caba
菜单	cabr
菲薄	cacs
蓝色	cadb
带头	cadd
菜刀	cadg
蓝天	caer
带动	caes
蕉	caha
带来	cahb
苫	cahk
菽	cahy
蘧	cahz
菜肴	caio
带路	caka
营业员	cakb
蓝图	cakw
菜	cama
荽	cana
带领	card
带电	carg
菲	cass
菜场	catg
菜地	catg
带	catj
带劲	cawd
菜谱	cayb
劐	cayd
莩	caza
芬	cb
芭	cbag
芘	cbba
葩	cbba
蒈	cbbb
荜	cbbo
芬兰	cbbs
芬芳	cbcf
芭蕾	cbcu
芬	cbda
蒹	cbhb
蒴	cbhu
蒌	cbmn
薮	cbmw
蔸	cbpe
萆	cbpo
蕲	cbrj
蓊	cbsl
恭恭敬敬	cccc
落落大方	ccdf
苷	ccea
勤勤恳恳	ccii
蓬蓬勃勃	ccoo
莫斯科	ccpm
蒸蒸日上	ccra
萁	ccsb
葚	ccsw
敬	cd
敬爱	cdat
菊	cdbm
葡萄	cdcd
芦苇	cdch
菊花	cdcr
芍	cdda
警觉	cddb
萄	cdfa
警告	cdfa
警卫	cdga
芦席	cdgc
苞	cdgg
芝麻	cdgm
警戒	cdhc
葡	cdhd
莨	cdin
萏	cdja
劳逸结合	cdjr
苟	cdka
苕	cdka
菟	cdkd
檠	cdkm
擎	cdko
敬	cdkw
警	cdky
敬意	cdlr
芦	cdoa
萘	cdoa
警报	cdoe
敬礼	cdog
敬重	cdph
芴	cdpp
葱	cdpx
荀	cdra
敬佩	cdrj
敬仰	cdrp
芝	cdwn
警惕	cdxr
警察	cdxx
某	ce
某些	ceab
苄	cead
甘	ceah
茸	ceah
蒡	cebf
茭	cebi
蒂	cebj
甘蓝	ceca
荒芜	cece
甘蔗	cecg
劳动节	cecg
若无其事	cech
甘苦	ceco
甘薯	cecs
芙蓉	cecx
邯	ceea
芫	ceea
芋	cega
荒唐	cegi
劳动致富	cehx
甘肃	ceia
